session_id,label,speed_score,vibration_score,pause_ratio,smoothness_score,gyro_std,gyro_max,gyro_range,jerk_mean,jerk_max,energy,writer_id,text_id
20251231_181354,bad,1765.9069507277209,1249.941891312766,0.7041666666666667,1.4127912358071824,3393.3036290422824,19925.434298905508,19878.169089713123,331.35828942868767,8926.972628764039,14632936.8775,p01,word01
20251231_181427,bad,1548.183016175909,1126.2486749001278,0.6591666666666667,1.3746369246015406,3008.8680014402644,22220.05546797757,22161.55760476873,319.4118206686408,8718.099703216434,11450157.301666666,p01,word01
20251231_181501,bad,1653.5361706207134,1258.3573434641376,0.66,1.314043405790157,3359.744414626751,22560.911196137447,22504.74180945751,357.762884394446,9609.06985281476,14022064.399166666,p01,word01
20251231_181535,bad,1826.920952520704,1253.8771790047624,0.575353871773522,1.457017466825391,3094.9032224726325,25887.084926657924,25852.762922054462,464.8660175185325,6623.398035117301,12916066.123230642,p01,word01
20251231_181616,bad,1773.7651331983946,1301.0802610640349,0.6683333333333333,1.3633018537876302,3581.5691376941218,24456.393969675904,24414.81272390332,323.7278853654264,4704.304625578367,15973880.235833334,p01,word01
20251231_181654,bad,1999.5364937032368,1347.5579640371395,0.5075,1.4838222514963415,3460.448573694211,25847.927208965903,25821.60231580373,442.0334170412518,8936.983929435746,15972850.520833334,p01,word01
20251231_181729,bad,1775.2486655760076,1450.5804395533476,0.7216666666666667,1.223819524892263,4084.4674518681873,32038.702267726138,31989.40723755068,321.7717199898449,11453.867420352006,19834382.19,p01,word01
20251231_181804,bad,1577.3739193951506,1208.625667921614,0.7275775356244761,1.3050971528699609,3211.705785590927,20972.972393058644,20940.1547148958,350.1627603490514,8846.910358429777,12803162.534786252,p01,word01
20260101_130131,bad,2092.787217438131,1382.9805651223885,0.5056980056980057,1.5132441255526126,3317.239933512148,28634.485939160844,28632.75388835328,554.0122643839202,12588.122240591209,15383839.113960112,p01,word01
20260101_150948,perfect,1229.0181240468953,612.5109218999951,0.038269550748752,2.006524419561343,1667.5534012255675,16036.41524780398,15913.029673282485,160.34985933189265,5029.580593824546,4291219.895174709,p01,word01
20260101_151055,medium,1650.5119875304183,932.5478292909588,0.1688851913477537,1.769895263190363,2478.3488354614306,22602.712978755448,22445.57291384519,270.06168378932813,4530.029298872765,8866402.771214642,p01,word01
20260101_151303,medium,1815.1949665532936,1186.0926960773454,0.2908333333333333,1.5303989064481391,3401.310572298996,30671.04531964961,30579.333815463924,236.7136062680667,10612.196043156197,14863846.375833333,p01,word01
20260101_151603,medium,1444.8711562899832,832.6888803841049,0.1465445462114904,1.7351872813388622,2327.4665552272204,18840.89756354511,18791.938396885536,192.0698768799126,5381.007471840495,7504753.223980017,p01,word01
20260101_151706,medium,1636.7439020077593,937.6819839423966,0.14,1.7455213263037224,2645.083928581552,19363.872701502663,19086.620109089174,205.93829338275884,3981.091338541628,9675399.59,p01,word01
20260101_152133,medium,1436.1212424896755,796.6889288824694,0.16,1.802612272648921,2238.64473942828,15071.384342521424,14980.49980038141,178.70786721997916,2603.430462296816,7073974.4925,p01,word01
20260101_152215,medium,1494.1682272309415,1103.6610116633665,0.1741666666666666,1.3538289475544658,3141.3584995826586,35749.31916834221,35670.50292636126,230.3620882693842,10026.542200823633,12100671.914166668,p01,word01
20260101_152448,medium,1426.774721078535,824.2946074515932,0.085,1.730903861859146,2266.5141389274268,21352.211548221418,21196.41039289836,206.2005225333789,5865.8544868364415,7172772.446666666,p01,word01
20260101_152521,medium,1514.717875098419,932.6802733625856,0.1142618849040867,1.624048365484743,2663.1192475486027,21167.228278638657,20910.51637786271,191.0635701400071,7029.594273993176,9386574.367806504,p01,word01
20260101_152608,medium,1370.5924778625872,798.6454654466801,0.1292743953294412,1.7161463195435191,2272.4148743963883,21206.49921604224,21113.60142274229,167.03000446823364,4384.6873044944,7042393.10175146,p01,word01
20260101_152645,medium,2004.7370965222144,1317.0970091296608,0.5191666666666667,1.5220876526967888,3841.180019277195,27072.499626004246,26990.21961628135,235.34714763786087,5693.9080790109,18773634.766666666,p01,word01
20260101_152714,medium,1503.6641655045316,840.0122085645432,0.1791666666666666,1.790050368772641,2400.9694269282622,17186.566294638378,16976.582961966473,171.03054355152094,4247.309950942305,8025660.111666666,p01,word01
20260101_152859,medium,1610.0911880856388,970.0507805800414,0.2206494587843464,1.6598009286308544,2790.024683566126,18268.87445903551,18160.49549428681,190.0619650145767,4118.556823231876,10376631.368859284,p01,word01
20260101_152928,medium,1674.1928463823615,923.7344790632634,0.2425,1.812417834903924,2593.734509310618,16402.050786410826,16390.870446523328,208.02018038582577,4774.975741858553,9530380.391666668,p01,word01
20260101_153043,perfect,1139.6817517740922,629.201231660563,0.0508757297748123,1.8113151923669537,1705.3406482356186,15930.823989988716,15778.541358017765,167.9986245569678,2995.892609227132,4207061.221851543,p01,word01
20260101_153122,perfect,892.5602970496426,407.5567639674842,0.0266222961730449,2.19002694537742,1049.085164252382,10136.390531150622,9993.58296832568,132.61602098824235,2241.9934925560665,1897243.5657237936,p01,word01
20260101_153157,perfect,993.944627166129,470.62460574557576,0.0483736447039199,2.111969100042117,1218.4692192505436,13090.879191253733,12940.622743804714,150.11977138630394,3479.9321662147204,2472593.1601334447,p01,word01
20260101_153236,perfect,904.1394964096928,379.4495976123219,0.0141666666666666,2.382765720971124,971.2354195552662,8602.459241403007,8441.418873792894,125.82710249391724,1767.228768179294,1760766.4691666667,p01,word01
20260101_153314,perfect,894.8159524027958,377.1922958755936,0.0108243130724396,2.372307069404246,975.2239722263348,8184.622227079268,8076.816846879577,120.89300601099016,1871.874260184452,1751757.384679434,p01,word01
20260101_153349,perfect,1044.9801400712713,507.2553889863828,0.0574521232306411,2.0600670997292383,1299.5550143861396,11661.274973175105,11593.939989696972,167.6984066722013,2901.8729965728653,2780826.7285595336,p01,word01
20260101_153422,perfect,847.1533920551173,365.20699344740586,0.0383333333333333,2.3196527036316588,907.2289982851676,7898.315896442735,7818.084979708597,132.91184851693652,1866.6601169069968,1540733.325,p01,word01
20260101_153457,perfect,1018.6763970123384,494.8458462199851,0.0633333333333333,2.0585731955420106,1278.0056855650637,13908.588174218115,13850.994771818188,159.20591507209443,3511.556269102384,2671000.134166667,p01,word01
20260101_153529,perfect,926.6437910426806,420.79029684471976,0.0524126455906822,2.2021510376758524,1056.774522707271,8270.734792024225,8187.734792024225,148.22562861791212,2403.655316845562,1975441.1073211315,p01,word01
